,DIS,MSFT,YHOO,MU,XOM,GE,CVX,C,BAC,JPM
Fri Apr 04 2014 13:02:14 GMT-0600 (MDT),80.56,39.74,33.98,22.93,97.36,26.02,118.63,46.97,16.84,59.86
Fri Apr 04 2014 14:00:02 GMT-0600 (MDT),80.45,39.97,34.21,22.49,97.5,26.01,118.81,47.13,16.79,59.87
Mon Apr 07 2014 06:00:01 GMT-0600 (MDT),80.25,39.73,34.12,22.7,97.32,25.9,118.78,47.05,16.63,59.73
Mon Apr 07 2014 07:00:01 GMT-0600 (MDT),80.45,39.81,34.12,22.86,97.25,25.9,118.92,47.08,16.65,59.67
Mon Apr 07 2014 08:00:01 GMT-0600 (MDT),80.1,39.89,33.4,22.3,97.15,25.8,118.37,47.05,16.52,59.7
Mon Apr 07 2014 09:00:01 GMT-0600 (MDT),80.41,40.03,33.74,22.27,97.0,25.88,118.01,46.8,16.53,59.41
Mon Apr 07 2014 10:00:01 GMT-0600 (MDT),80.08,39.99,33.47,21.9,96.87,25.87,118.19,46.73,16.48,59.32
Mon Apr 07 2014 11:00:01 GMT-0600 (MDT),79.54,39.96,33.26,21.63,96.97,25.8,118.26,46.47,16.41,59.06
Mon Apr 07 2014 12:00:02 GMT-0600 (MDT),78.83,39.89,32.68,21.41,96.88,25.88,117.95,46.38,16.29,58.95
Mon Apr 07 2014 13:00:01 GMT-0600 (MDT),79.14,40.02,33.05,21.76,97.09,25.94,117.77,46.59,16.33,59.16
Mon Apr 07 2014 14:00:02 GMT-0600 (MDT),79.25,40.02,33.2,21.77,96.97,25.89,117.51,46.52,16.41,59.08
Tue Apr 08 2014 06:00:01 GMT-0600 (MDT),79.74,39.65,33.28,21.82,97.04,25.83,119.03,46.5,16.42,58.94
Tue Apr 08 2014 07:00:01 GMT-0600 (MDT),79.74,39.9,33.39,21.96,97.33,25.88,117.99,46.63,16.42,59.18
Tue Apr 08 2014 08:00:02 GMT-0600 (MDT),79.03,39.56,33.52,22.03,97.24,25.81,117.32,46.62,16.4,58.89
Tue Apr 08 2014 09:00:02 GMT-0600 (MDT),78.9,39.62,33.65,21.77,97.6,25.79,117.9,46.38,16.33,58.73
Tue Apr 08 2014 10:00:01 GMT-0600 (MDT),78.89,39.75,34.04,21.89,97.41,25.79,118.16,46.76,16.4,58.85
Tue Apr 08 2014 11:00:01 GMT-0600 (MDT),78.88,39.81,34.21,21.83,97.45,25.82,118.01,46.54,16.42,58.65
Tue Apr 08 2014 12:00:02 GMT-0600 (MDT),79.05,39.88,34.35,22.27,97.71,25.79,117.76,46.64,16.46,58.94
Tue Apr 08 2014 13:00:01 GMT-0600 (MDT),78.89,39.66,33.9,22.16,97.31,25.73,117.39,46.42,16.33,58.63
Tue Apr 08 2014 14:00:02 GMT-0600 (MDT),79.57,39.88,33.91,22.17,97.69,25.74,117.9,46.56,16.43,58.96
