,DIS,MSFT,YHOO,MU,XOM,GE,CVX,C,BAC,JPM
Fri Apr 04 2014 13:02:14 GMT-0600 (MDT),80.55,39.73,33.97,22.92,97.35,26.01,118.6,46.96,16.83,59.85
Fri Apr 04 2014 14:00:02 GMT-0600 (MDT),80.45,39.96,34.2,22.48,97.49,26.0,118.82,47.12,16.78,59.86
Mon Apr 07 2014 06:00:01 GMT-0600 (MDT),80.02,39.7,34.05,22.6,96.97,25.86,117.72,46.91,16.62,59.45
Mon Apr 07 2014 07:00:01 GMT-0600 (MDT),80.32,39.79,34.1,22.76,97.19,25.89,118.64,47.08,16.64,59.61
Mon Apr 07 2014 08:00:01 GMT-0600 (MDT),80.09,39.88,33.39,22.29,97.14,25.79,118.34,47.04,16.51,59.69
Mon Apr 07 2014 09:00:01 GMT-0600 (MDT),80.4,40.02,33.73,22.26,96.99,25.87,118.0,46.79,16.52,59.4
Mon Apr 07 2014 10:00:01 GMT-0600 (MDT),80.07,39.98,33.46,21.9,96.86,25.86,118.18,46.72,16.47,59.31
Mon Apr 07 2014 11:00:01 GMT-0600 (MDT),79.53,39.95,33.25,21.62,96.96,25.79,118.25,46.46,16.4,59.05
Mon Apr 07 2014 12:00:02 GMT-0600 (MDT),78.82,39.88,32.67,21.4,96.86,25.87,117.94,46.37,16.28,58.94
Mon Apr 07 2014 13:00:01 GMT-0600 (MDT),79.13,40.01,33.04,21.75,97.08,25.93,117.75,46.58,16.32,59.15
Mon Apr 07 2014 14:00:02 GMT-0600 (MDT),79.24,40.02,33.19,21.76,96.96,25.88,117.5,46.51,16.4,59.08
Tue Apr 08 2014 06:00:01 GMT-0600 (MDT),77.16,39.54,33.16,21.51,96.7,25.8,117.32,46.4,16.41,58.85
Tue Apr 08 2014 07:00:01 GMT-0600 (MDT),79.15,39.83,33.35,21.93,96.79,25.84,117.32,46.6,16.41,59.11
Tue Apr 08 2014 08:00:02 GMT-0600 (MDT),79.0,39.55,33.51,22.02,97.23,25.8,117.27,46.61,16.39,58.88
Tue Apr 08 2014 09:00:02 GMT-0600 (MDT),78.89,39.61,33.64,21.76,97.59,25.78,117.89,46.37,16.32,58.72
Tue Apr 08 2014 10:00:01 GMT-0600 (MDT),78.88,39.74,34.03,21.88,97.4,25.78,118.15,46.75,16.39,58.84
Tue Apr 08 2014 11:00:01 GMT-0600 (MDT),78.86,39.8,34.2,21.82,97.44,25.81,117.99,46.53,16.41,58.64
Tue Apr 08 2014 12:00:02 GMT-0600 (MDT),79.04,39.87,34.34,22.26,97.7,25.78,117.75,46.63,16.45,58.93
Tue Apr 08 2014 13:00:01 GMT-0600 (MDT),78.88,39.65,33.89,22.15,97.3,25.72,117.38,46.41,16.32,58.62
Tue Apr 08 2014 14:00:02 GMT-0600 (MDT),79.56,39.87,33.9,22.16,97.68,25.73,117.89,46.55,16.42,58.95
